WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Acacia Pinot Noir Carneros,$19.97,California,Carneros,Red Wine,Pinot Noir,Carneros Napa- The nose combines smoke sandalwood freshly crushed berries minerals and intricate spice. The silken palate reflects the nose with thrilling acidity and fine tannins giving shape to the cherry and black raspberry flavors. (Elegant Cherry Spice  Medium-bodied )
Owl Ridge Red Blend Tyto Alexander Valley,$16.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Alexander Valley Sonoma CA- Distinct aromas of bay leaf and coffee. On the palate the wine displays a smooth texture typical of the Alexander Valley. It possesses layered flavors of cassis and dark chocolate framed by well-integrated vanilla notes and a rich satisfying finish. (Elegant Blackberry Coffee  Medium-bodied )
Sojourn Pinot Noir Sonoma Coast 2015,$44.99,California,Sonoma County,Red Wine,Pinot Noir,Wine Spectator-Sonoma Coast California - Young and tight with a zesty mix of dusty herb and dried and ripe berry flavors ending with chewy tannins.Though there is much to admire here this wine is best served by short-term cellaring.. (Elegant Cherry Oak  Medium-bodied )
Kenwood Jack London Cabernet,$23.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma CA- Rich and complex with aromas of plum hazelnut and pipe tobacco with a hint of vanilla; a full-bodied wine with flavors of black currant and elegant tannins with an excellent finish. ()
Las Almenas Tempranillo,$10.99,Spain,La Mancha,Red Wine,Tempranillo,La Mancha Spain- This fresh Tempranillo is young and fruit-driven offering bright red berry and raspberry aromas deep vibrant and lively strawberry flavors on the palate. Well-balanced with a refreshing finish. Pairs wonderfully with chicken pasta and BBQ. (Fresh Red Berry Strawberry  Medium-bodied )
Chateau Fonseche Haut Medoc,$18.99,France,Bordeaux,Red Wine,Bordeaux Blend,Haut Medoc Bordeaux France- Intense fruit offered in an elegant format this Caberent based red offers black currant and blackberry notes lead into ripe tannins on the finish. The balance of the fruit tannins and oak are impeccable. What an amazing value. (Elegant Black Currant Lead  Medium-bodied )
Marques De Murrieta Castillo Ygay 2013,$74.99,Spain,Rioja,Red Wine,Tempranillo,Rioja Spain- The Castillo Ygay is the flagship wine of this great Rioja estate. Crafted almost entirely from Tempranillo this elegant and supple wine with a powerful nose of red and black fruit and saddle leather is aged entirely in American oak. ()
Cline Mourvedre Ancient Vine,$12.49,California,,Red Wine,Mourvedre/Monastrell,California - Ancient Vines Mourvedre offers a hint of Eucalyptus on the nose distinct chocolate characteristics luscious deep plum and concentrated cherry. This scrumptious and unusually delightful wine has a substantial mouth-feel followed by soft tannins. ()
Opolo Zinfandel Summit Creek,$17.99,California,,Red Wine,Zinfandel,Paso Robles Central Coast California - Notes of dark fruits are displayed with aromas of smoked beef leather and earthiness are evident in this wine. Pairs well with poultry or pasta dishes. ()
Chateau dArmailhac Pauillac 2012,$49.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Advocate-5th Growth Pauillac Bordeaux France - This impressive deep opaque ruby/purple wine with loads of charcoal creme de cassis and a flowery-ness this is rich medium to full-bodied beautifully textured quite pure and avoids any of the astringency or hollowness...  (Elegant Blackberry Plum  Medium-bodied )
Banfi Rosso di Montalcino 2013,$18.99,Italy,Tuscany,Red Wine,Sangiovese,James Suckling-Tuscany Italy - Theres a linear purity to this red with dried chocolate plum and peach aromas and flavors. Medium to full body fine tannins and a fresh finish. Drink now. ()
Pietro Chianti,$11.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Tuscany Italy- This bottle far outshows most Chianti in its price and quality range. Having a core of Sangiovese this Chianti is light-bodied with exceptionally balanced acidity and fruit character along with light but firm tannins. (Fresh Cherry Berry Spice  Light-bodied )
Joseph Phelps Insignia 2012,$199.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- Inky purple to the rim with notes of lead pencil shavings incense camphor blackberry and creme de cassis the wine is full-bodied offering a multi-layered textural skyscraper-like mouthfeel terrific purity density and richness. (Concentrated Cassis Cocoa Blackberry  Full-bodied )
Sirene De Giscours,$29.99,France,Bordeaux,Red Wine,Bordeaux Blend,Margaux Bordeaux France - Aromas of redcurrant sweet black cherries and an herbal mint note. Full bodied with silky tannins and an abundance of bold fruit. Potent wine with an extensive finish. Second wine of Giscours. (Concentrated Raspberry Dark Fruit  Full-bodied )
Bellini Rosso Toscana IGT,$9.99,Italy,Tuscany,Red Wine,Sangiovese,Toscana Italy- Intense ruby colour with garnet reflexes. Intense bouquet with notable red berry licorice spice and vanilla scents. Dry warm and full-bodied. Goes great with your favorite pasta dish. (Dry Licorice Spice  Full-bodied )
Chateau de Mercues Cahors 2014,$22.98,France,Southwest France,Red Wine,Malbec,Wine Enthusiast -Cahors Southwest France - The flagship estate of the Vigouroux family this medieval castle on a hill is also a hotel. The vineyard produces powerful wines like this packed with dusty tannins and with dark berry fruits and fine concentration. (Concentrated Plum Black Cherry  Full-bodied )
Domaines des Maisons Neuves Brouilly Vielles Vignes,$17.99,France,Beaujolais-Villages,Red Wine,Gamay,Brouilly Beaujolais-Villages France - This Brouilly is bursting with red berry and plum fruit! Mineral notes emerge on the finish and the diverse terroir make this red a truly unique beauty. (Elegant Black Cherry Spice  Medium-bodied )
Mauro Sebaste Barbera dAlba Santa Rosalia,$18.98,Italy,Piedmont,Red Wine,Barbera,Barbera dAlba Piedmont Italy- A soft medium-bodied red with cherry chocolate and a hint of orange peel that coat the light tannins and give this a tasty finish. Great with all meats poultry game and cheeses. (Fresh Cherry Chocolate  Medium-bodied )
Chateau Orisse du Casse St Emilion,$32.99,France,Bordeaux,Red Wine,Bordeaux Blend,St Emilion Bordeaux France- Winemaker Richard Dubois trained at Ch Petrus and is committed and passionate about making the finest wine. Fragrant cassis and dark berry fruits are framed with toasty oak in this traditionally styled effort. Supple textured complex classic finish. (Elegant Cassis Tobacco  Medium-bodied )
Plungerhead Zinfandel Lodi,$10.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- A nose of cherries and spice dark garnet in color. A medium bodied Zin with raspberries black cherries and spices. This was a nice surprise. Tobacco pepper and red fruits. Quite a mouthful. ()
Sutter Home Merlot,$4.99,California,,Red Wine,Merlot,California- Fresh and smooth with black cherry flavors and hints of smoke and spice this wine with moderate tannins is your easygoing low-maintenance friend for life. Perfect with tomato-based pastas chicken beef lamb and pizza. ()
Nickel &amp; Nickel Cabernet Rock Cairn Vineyard 2014,$94.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Oakville Napa CA- Rooted in the famous loam soils of Oakville the Rock Cairn vineyard Cabernet is richly structured and powerful showing ripe aromas and flavors of cassis black cherry and anise. Notes of plum cherry clove mineral and oak add depth to the firm texture. (Concentrated Plum Cassis Spice  Full-bodied )
Duckhorn Merlot Three Palms 2013,$84.99,California,Napa Valley,Red Wine,Merlot,Wine Spectator-Napa California - Combines good structure with a supple texture showing aromas of red currant and dark chocolate and layered flavors of cherry spice and licorice. Drink now through 2028. (Intense Cherry Cedar Spice  Full-bodied )
Oak Grove Petite Sirah Reserve,$9.49,California,,Red Wine,Petite Sirah,California- Aromas of raspberry and strawberry lead to powerful flavors of crushed red berry fruit plum jam and the spicy notes typical of this varietal. This wine is a perfect match with grilled meats cold cuts and strong cheese. (Intense Raspberry Strawberry  Medium-bodied )
Montes Classic Cabernet,$10.97,Chile,Colchagua Valley,Red Wine,Cabernet Sauvignon,Colchagua Chile- Rich ruby in color with a nose full of red fruit and nuances of cherries chocolate leather and tobacco on the palate. Full body and rich long finish. Great with meat dishes. (Elegant Cherry Chocolate  Full-bodied )
Luc Pirlet Malbec,$9.99,France,Vins de Pays dOc,Red Wine,Malbec,Languedoc South of France France- Ripe berry cherry and spice mingle together on the nose of this fleshy red grown in the hills near Corbieres. The fruit-forward palate has bright notes of red fruits that carry through the broad finish. Try this with casual red meat entrees. (Elegant Cherry Raspberry  Medium-bodied )
Bellini Chianti Straw Bottle,$19.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Tuscany Italy- A simple straightforward wine in the style that made Chianti popular. Plenty of fruit just enough crispness to keep it fresh with a silky smooth finish. It makes a perfect accompaniment to a big Italian dinner with family and friends. (Fresh Red Berry Violet  Light-bodied )
Avenel Cellars Zinfandel Dry Creek,$17.99,California,Sonoma County,Red Wine,Zinfandel,Dry Creek Valley Sonoma CA- Deep hues of dark purple with concentrated and complex black fruit aromas are just the start of the flavors of this Zin crafted by renowned winemaker Marco DiGuilio. Jammy with blackberry flavors this wine is well structured with elegance and balance. (Concentrated Blackberry Pepper  Full-bodied )
Calcareous Zinfandel Paso Robles,$34.49,California,Central Coast,Red Wine,Zinfandel,Paso Robles Central Coast CA- This rich silky textured wine is immediately recognizable showing true varietal character and an intriguing spicy black pepper note. It is extremely balanced packed with forest fruit flavor and soft tannins complemented by gentle oak nuances. (Concentrated Blackberry Spice  Full-bodied )
Flora Springs Trilogy 2014,$74.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-California - It is a wine of suppleness complexity and loads of licorice tobacco leaf blackcurrants spice and some background oak and espresso. Medium to full-bodied with gorgeous fruit texture and length... (Elegant Cassis Plum Tobacco  Medium-bodied )
Chateau Tour de Bessan Margaux,$26.99,France,Bordeaux,Red Wine,Bordeaux Blend,Margaux Bordeaux France - This wine has a purple red hue in the glass. On the nose are fine smoky cassis almost a feminine touch very good Margaux. Very elegant on the finish. (Elegant Smoke Floral  Full-bodied )
Luc Pirlet Syrah-Mourvedre,$10.99,France,Vins de Pays dOc,Red Wine,Syrah/Shiraz,France- This soft blend of Syrah and Mourvedre has an enticing bouquet leading to flavors of blackberry plum and spice with smoky undertones of bacon wrapped around a medium-bodied core. There is a lot to like about this wine especially the price. (Fresh Blackberry Plum Spice  Medium-bodied )
Chateau de Nages Joseph Torres Rouge 2014,$24.99,France,Rhone,Red Wine,Rhone Blend,Wine Advocate-Costieres de Nimes Rhone France- Inky-colored perfumed and pure it offers lots of black raspberries plums crushed flowers violet and pepper on the nose. Medium to full-bodied elegant and silky it has fine tannin and no shortage of length on the finish. [BARREL SCORE 90-92] (Intense Blackberry Spice  Full-bodied )
Skyfall Vineyards Cabernet,$12.99,Washington,,Red Wine,Cabernet Sauvignon,Washington - Made from grapes picked at the peak of ripeness this Cabernet boasts notes of black currant from the nose to the mid-palate with the fruit evolving into dark blackberry with hints of cocoa and vanilla. A structured wine with nice lingering flavors. ()
Aspaldi Rioja Crianza,$13.99,Spain,Rioja,Red Wine,Tempranillo,Rioja Spain- 92% Tempranillo 8% Garnacha. Mature fruit dominates in an incipient bouquet which captures the aging and a slightly toasty aroma. Soft tannin makes it palatable in spite of its young age. Long excellent aromatic aftertaste. (Elegant Cherry Plum  Medium-bodied )
William Hill Cabernet Napa Valley,$33.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa Valley CA- Flavors and aromas of dark cherry ripe plum and blueberry are complemented by sweet vanilla and brown spice notes. With rich dark berry jam flavors the wine has a complex and layered finish. ()
Protocolo Tinto,$6.79,Spain,La Mancha,Red Wine,Tempranillo,La Mancha Spain- Offering lovely fresh blackberry and strawberry flavors this Tempranillo is an easy drinking effort from Spains hot interior. This pleasant red goes great with casual fare. (Fresh Blackberry Strawberry  Medium-bodied )
Dom Chevillon Chezeaux Vielles Vignes Nuits St. Georges,$47.99,France,Burgundy,Red Wine,Pinot Noir,Nuits St Georges Burgundy France -Mid crimson. This smells quite evolved already! Neat well balanced and very charming with real substance and savor. Easy to see why this producer is so popular. Definitely a cut above the average village wine. (Elegant Dark Fruit Black Cherry  Medium-bodied )
Kunde Merlot Sonoma,$15.99,California,Sonoma County,Red Wine,Merlot,Sonoma CA- Produced from estate grown fruit this complex wine features a supple core of ripe cherry and plum flavors that are accented by toasty oak. Its silky texture is highlighted on its lengthy smooth finish. Serve with poultry pork and meat dishes. (Intense Cherry Plum  Full-bodied )
Drouhin Roserock Eola Amity Hills 2014,$27.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Wine Enthusiast -Eola-Amity Hills OR - This reserve-level wine from the Roserock vineyard Domaine Drouhins recent Eola-Amity Hills planting is compelling. Dense and fragrant it boasts a beguiling mix of rose cocoa powder and Asian spice like a magic carpet ride of flavor. ()
Rombauer Merlot,$39.97,California,,Red Wine,Merlot,California- Fragrant aromas of cherry mint and eucalyptus. On the palate this wine has silky smooth tannins with lush flavors of blueberry and spice. A well-integrated acidity makes this an excellent wine to pair with grilled meats and red sauce pasta dishes. (Concentrated Cherry Spice  Full-bodied )
Duckhorn Cabernet Napa,$32.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa Valley CA- The alluring aroma displays satisfying notes of blackberry plum roasted nuts and chocolate. Layered flavors of ripe black fruits toffee caramel and toasted oak meld on the lush palate. The Duckhorn family has been crafting classic Napa Cabs for 30 years. (Elegant Cassis Chocolate Smoke  Full-bodied )
Rancho Zabaco Zinfandel Heritage,$13.99,California,Sonoma County,Red Wine,Zinfandel,Sonoma CA- This bold well-made Zinfandel offers intense aromas and flavors or Red and dark berries with a spicy edge. There are some subtle oak shadings that help to around out the soft finish. (Intense Berry Spice  Medium-bodied )
Sobon Primitivo Rezerve,$25.99,California,Sierra Foothills,Red Wine,Zinfandel,California- A classic straight from the source Primitivo is considered the original Zinfandel from Italy. Dense leathery dark fruit aromas are complemented by powerful flavors of blackberry currant spice and a hint of mint. This is a bottle not to be missed. Sustainably farmed. (Intense Blackberry Spice Mint  Full-bodied )
Chateau de Chantegrive Graves 2012,$29.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -Graves Bordeaux France-One of the top Graves estates has produced this fine ripe 2012. It is still young showing its toasty smoky wood flavors but has plenty of tannic structure thats firm for aging. The fruit and acidity are all there promising a balanced wine  (Concentrated Anise Black Fruit  Full-bodied )
SantOrsola Dolcetto dAlba,$11.99,Italy,Piedmont,Red Wine,Dolcetto,Dolcetto d Alba Piedmont Italy- Piedmonts easiest drinking red wine made for immediate consumption. The name of the grape is attached to the name of the town its grown near. A smooth soft red featuring cherry and plum flavors. Enjoy with ham salami or light meals. (Fresh Fruity Plum  Medium-bodied )
Ferrari-Carano Merlot,$18.99,California,Sonoma County,Red Wine,Merlot,Sonoma CA- Aromas of cherry cobbler blackberry caramel and vanilla intricately woven with lingering flavors of baked berry pie cinnamon and spice. This wine has a full mouthfeel impressive length and velvety tannins. ()
Ferrari-Carano Tresor Reserve Red 2013,$42.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Wine Advocate-Sonoma CA- In addition to a dense purple color beautiful sweet creme de cassis blackberry and nicely integrated wood acidity and tannin it has a touch of chocolate in the finish adding to the complexity. (Elegant Plum Cassis Vanilla  Medium-bodied )
El Puntido Rioja Tempranillo 2012,$59.99,Spain,Rioja,Red Wine,Tempranillo,Wine Spectator-Rioja Spain-This red has depth and balance. Ripe fruit flavors of plum and boysenberry mingle with licorice graphite and floral notes backed by well-integrated tannins. Enjoy! (Elegant Mineral Fruity  Full-bodied )
Phenolia Red Blend,$9.99,France,Languedoc,Red Wine,Malbec,Languedoc France- Deep purple in color. The nose has intense notes of red fruits and spices. The palate has strong yet well-integrated silky tannins. The flavors are well-balanced and the finish is persistent. Perfect with roast duck red meat or lamb dishes. (Elegant Spice Red Fruit  Full-bodied )
Achaval Ferrer Quimera Mendoza 2012,$30.49,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Lush Bordeaux blend of Cabernet Merlot and Malbec bursting with raspberry and currant flavors that pick up complexity with hints of boysenberry mineral and violets. Continue to evolve in the glass and on the palate. (Intense Raspberry Currant  Full-bodied )
Antinori Il Bruciato Bolgheri Tenuta Guada Al Tasso 2015,$24.99,Italy,,Red Wine,Sangiovese,James Suckling-Tuscany Italy Aromas of black currants black berry and wet earth follow through to a full body dark and juicy fruit and a long and flavorful finish. Layered and rich with a lovely ripe tannin mouthfeel. Shows the opulence of the outstanding 2015 vintage. ()
Red Theory Merlot,$13.99,Washington,Columbia Valley,Red Wine,Merlot,Columbia Valley Washington- Aromas of sweet cherry oak spices and eucalyptus. Flavors of blackberry plum and black cherry follows. Well-balanced with lingering fruit on the finish. (Concentrated Black Cherry Plum  Medium-bodied )
Los Boldos Carmenere Tradition,$9.99,Chile,Rapel Valley,Red Wine,Carmenere,Rapel Valley Chile - This Carmenere Tradition has an intense burgundy color and offers a complex nose of crystallized fruit chocolate and blackberry jelly at palate looks fruity well structured and wide body with sweet tannins. (Intense Chocolate Blackberry  Full-bodied )
Cune Rioja Crianza,$11.49,Spain,Rioja,Red Wine,Red Blend,RiojaSpain- Mid garnet in color with a plum damson briar coffee tones and good toasty vanilla this wine provides for a long satisfying full rounded deep palate. Rich fruity length with a nice finishing bite of acidity and oak. Enjoy with grilled meats and cheeses. (Intense Cherry Toast  Medium-bodied )
Sojourn Cabernet Sauvignon Oakville 2014,$74.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Oakville California - ...wild blueberries cassis and warm plums with touches of cedar tobacco and wild thyme.... the palate in nicely balanced and open for business with plenty of mouth-filling black fruits supported by velvety tannins and a good long finish...Classic Napa Cab! (Concentrated Blackberry Raspberry Mocha  Full-bodied )
Chateau Montrose St Estephe 2010,$289.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Advocate-2nd Growth St Estephe Bordeaux France- Inky/purple in color with classic blueberry black currant crushed rock and floral notes hints of graphite and lots of wild mountain berry fruit this wine is extravagantly rich has very sweet but noticeable tannin laser-like precision.. (Concentrated Black Cherry Cocoa  Full-bodied )
Penner Ash Pinot Noir Willamette,$42.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Willamette Valley Oregon- Ripe aromas of black fruit lead to an open and supple in texture this has a gentle mouthful of ripe plum and cherry flavors picking up a mineral note as the finish lingers on. (Concentrated Black Fruit Mineral  Medium-bodied )
Ghost Block Cabernet Oakville Estate,$89.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Oakville Napa CA- Certified organically grown 100% estate Cabernet Sauvignon from the Rock Cairn Vineyard. A big shouldered wine that has intense flavors of chocolate and black cherries with very nicely balanced tannins. Made by winemaker Rob Lawson. Organically Farmed. (Intense Black Cherry Chocolate  Full-bodied )
Saladini Pilastri Rosso Piceno,$19.99,Italy,Marches,Red Wine,Montepulciano,Marches Italy- 30% Montepulciano and 70% Sangiovese it exhibits loads of strawberry and black cherry fruit in its exuberant robust personality. With wonderful depth a silky texture and pleasant herb earth and spice characteristics Enjoy with Veal Marsala. (Fresh Black Cherry Strawberry  Medium-bodied )
Vuela La Mancha Tempranillo,$8.99,Spain,La Mancha,Red Wine,Tempranillo,La Mancha Spain - This wine has an aromatic bouquet and flavors of dark fruits with a touch of spice The quality of the grapes give a perfect balance of acidity making for a very approachable red. (Oak Blueberry Plum Spice  Medium-bodied )
Allegrini Amarone della Valpolicella Classico 2013,$66.99,Italy,Veneto,Red Wine,Corvina,Wine Spectator-Veneto Italy- A seamless medium to full bodied red. Like fine silk this weaves through the range of crushed black cherry licorice and citrus with fine supple tannins and an underpinning of smoke-tinged mineral. Offers a long lingering finish. (Concentrated Cherry Chocolate  Full-bodied )
Truco Malbec Reserve 2017,$12.99,Argentina,Mendoza,Red Wine,Malbec,James Suckling-Mendoza Argentina - Big blueberry fruit and a hint of violets make this fresh malbec with crisp tannins rather attractive....Drink now. Pair this Argentinian Malbec with a dark meat turkey dish. (Dry Cherry Black Currant Mint  Medium-bodied )
Las Rocas Garnacha,$9.49,Spain,Calatayud,Red Wine,Grenache,Calatayud Spain- 100% old vine Grenache (70-100 years old) sourced from high altitude vineyards. Delicious spicy cherry and berry fruit flavors are nuanced with notes of anise and flowers in this supple textured fruit driven fantastic value. An Eric Solomon Selection. (Fresh Cherry Anise Floral  Medium-bodied )
Falesco Vitiano Rosso,$10.97,Italy,Umbria,Red Wine,Red Blend,Umbria Italy- This blend of Sangiovese Cabernet and Merlot is a perennial winner. The aromas are rich matching the dark plum flavors with hints of berry and chocolate peeking through well balanced with a surprisingly soft finish. (Intense Plum Berry  Medium-bodied )
Low Places Cabernet Sauvignon Napa,$47.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa California- With grapes that come from the best Low Places in Napa this full-bodied Cabernet offers fresh flavors of dark fruit complemented by nice concentration and balance. Enjoy with steak lamb or burgers. (Elegant Dark Fruit Black Cherry  Full-bodied )
Ravenswood Vintners Cabernet,$6.67,California,,Red Wine,Cabernet Sauvignon,California- Opens with nice berry aromas with a subtle floral note the wine is fresh on the palate with red and dark berry flavors complemented by a touch of spicy toasty oak. (Fresh Blackberry  Medium-bodied )
Los Vascos Cabernet Reserve,$12.77,Chile,Colchagua Valley,Red Wine,Cabernet Sauvignon,Colchagua ValleyChile- This Cabernet is bright ruby red in color. It offers a highly aromatic nose of ripe cherry blackcurrant tobacco and cedar. The dark berries and gentle tannins create a smooth lingering finish. (Elegant Cherry Black Currant  Medium-bodied )
Alessandria Barolo San Giovanni 2013,$59.99,Italy,Piedmont,Red Wine,Nebbiolo,Vinous-Barolo Piedmont Italy - Black cherry tobacco cedar licorice menthol and a kiss of new French oak run through this dark inviting Monforte Barolo. Firm tannins that melt with time revealing a gorgeous longevity. (Concentrated Dark Fruit Oak  Full-bodied )
Levendi Cabernet Stagecoach Vineyard 2014,$89.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,The Tasting Panel-Napa Valley CA - Sleek aromas of pencil shavings on blackcurrants spark intrigue. This pedigreed vineyard offers up dark chocolate within a blackberry nectar. Earth tones and sandalwood along with jasmine-dusted Italian herbs make this an artful red. (Intense Blackberry Dark Chocolate  Full-bodied )
FernRidge Pinot Noir,$17.99,New Zealand,Marlborough,Red Wine,Pinot Noir,Marlborough New Zealand - This is a fruit forward Pinot Noir with flavors of berries and dark cherries combined with subtle savory notes. The nose is dominated by rich berries with hints of cinnamon and spice. This elegant red would make an inviting pair with duck or lamb. (Dry Berry Spice Leather  Medium-bodied )
Aficionado Cabernet,$13.99,Australia,McLaren Vale,Red Wine,Cabernet Sauvignon,McLaren Vale Australia- Aficionado Cabernet is a high quality wine for your everyday drinking enjoyment. You will find notes of ripe blackberry and dark chocolate. A medium bodied wine that pairs perfectly with braised lamb. (Fresh Blackberry Dark Chocolate  Medium-bodied )
GWC Agiorgitiko Nemea,$13.99,Greece,Nemea,Red Wine,Agiorgitiko,Nemea Greece - The complex aroma leads to a wine of gentle cherry fruit soft tannins and elegant structure. The red fruit flavors combine with subtle spicy hints of cinnamon and cloves. It is an intriguing combination of mouthwatering freshness and haunting minerality. (Elegant Cherry Spice  Medium-bodied )
Rasteau Les Viguiers Cotes du Rhone Ortas,$10.99,France,Rhone,Red Wine,Rhone Blend,Cotes-du-Rhone Rhone France- A blend of 70% Grenache 25% Cinsault and 5% Carignan this bottle has an intense ruby color with aromas of cranberries and spice which are confirmed on the palate. Soft and smooth for easy drinking. (Intense Cranberry Spice  Medium-bodied )
Sextant Zinfandel Central Coast,$14.99,California,Central Coast,Red Wine,Zinfandel,Central Coast CA- Displays notes of black currant raspberries blueberries and dark plums drench the palate in an intense and velvety rush. Nuances of cedar and fine grains of black pepper work together with unruffled tannins. The finish is dapper and persistent. (Intense Black Currant Plum  Medium-bodied )
Donnachiara Taurasi,$34.99,Italy,Campagnia,Red Wine,Aglianico,Campania Italy- Full intense aromas of blackberry plum and cherry with cacao and coffee notes. The palate is warm dry and soft with an elegant structure and great persistence on the finish. (Intense Blackberry Chocolate  Full-bodied )
Chateau Beaucastel Chateauneuf-du-Pape Rouge 2015,$84.99,France,Rhone,Red Wine,Rhone Blend,Wine Advocate-Rhone France - Loaded with black cherry fruit and cola-like spice this full-bodied richly textured wine never seems heavy or warm while exotic Indian spice notes linger on the finish. (Concentrated Blackberry Truffle  Full-bodied )
Earthquake Petite Sirah,$19.99,California,Lodi,Red Wine,Petite Sirah,Lodi CA- Deep tantalizing burgundy colors convulse with aromas of blackberry pie and black cherries. Full bodied vanilla infused prune crash through the palate balancing out with hints of leather and toasted oak. ()
Layer Cake Primitivo,$9.97,Italy,Apulia,Red Wine,Primitivo,Apulia Italy- A balance of elegance and power; inky black fruit spice and white pepper jammy black cherries plums blackberry fruit truffles tar and espresso. Warm and rich in the mouth with a creamy texture; the ripe fruit is well supported by the deep structure of the wine. ()
Valtravieso Ribera del Duero Crianza,$19.99,Spain,Ribera del Duero,Red Wine,Tempranillo,Ribera del Duero Spain- Complex with fruit added with violet and white flower aromas. Noble wood aromas are integrated throughout. Hints of cocoa and coffee vanilla and toasted notes are present. Great paired with rice and vegetables or rich fish dishes. (Fresh Vanilla Toast  Medium-bodied )
Smoking Loon Pinot Noir,$6.97,California,,Red Wine,Pinot Noir,CA - Brilliant garnet color with seductive rose petal green tea aroma. The palate is ripe with heavily extracted cherry and strawberry flavors with a slight astringency akin to pomegranate seeds. This very generously fruit driven wine is a must with smoked game hen. (Fresh Strawberry Cherry  Medium-bodied )
Titus Cabernet Franc Napa,$44.99,California,Napa Valley,Red Wine,Cabernet Franc,Napa CA- Balancing lush notes of dark fruits against delicate hints of tea and smoke this is a velvety mouthful of wine. Rich aromas and flavors of blueberry and flowers are complemented by black olive cedar and vanilla tones that linger. Aged 14 months in French oak. (Intense Berry Olive Vanilla  Full-bodied )
Chateau Leoville Poyferre St Julien 2015,$99.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-St. Julien Bordeaux France - A rich and intense red with blackberries tar and spices. Black tea and blueberries. Full-bodied very layered and multi-dimensional. Very long and flavorful. Such great texture. A dynamic and superb red. (Concentrated Black Currant Blueberry  Full-bodied )
Frank Family Cabernet Reserve Rutherford 2013,$94.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Spectator-California - 93% Cabernet Sauvignon and the rest Petit Verdot and Cabernet Franc aged 20 months in 50% new French oak. This has a more saturated purple color a glorious extract and richness built with a solid inner core of essence that is pure dark and impressive. ()
Vistamar Brisa Carmenere,$5.99,Chile,Central Valley,Red Wine,Carmenere,Central Valley Chile - Rich spicy aromas combine with intense fruit flavors and smooth silky tannins to provide a delicious red that has a long pleasant finish. Pair with heartier fare. A lot of flavor for the price! (Fresh Red Fruit Mocha  Medium-bodied )
HXM Sweet Red,$9.99,Germany,,Red Wine,Red Blend,Germany - This sweet red is fresh and fruity. It offers a harmonic and discreet nose and is elegant and delicate in the mouth. Features ripe cherry and red berry aromas. Enjoy alone or with your favorite dessert. (Sweet Cherry Berry Fruity  Light-bodied )
Villa Cavarena Amarone della Valpolicella,$54.99,Italy,Veneto,Red Wine,Red Blend,Valpolicella Veneto Italy -Traditional fragrances of cherry and pepper are intense yet pleasant and also express subtle herbal nuances. Well-balanced this wine is both supple and feisty. Pairs well with cheeses game duck and even lobster in tomato sauce. (Concentrated Cherry Pepper  Full-bodied )
Chateau Montrose St Estephe 2011,$114.97,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -2nd Growth St Estephe Bordeaux France - Powerful yet still fruity this is a true wine of 2011. It shows dark tannins and juicy fruit in equal measure. The wine has weight complexity and power. A real success. [BARREL SCORE] (Elegant Blackberry Plum  Medium-bodied )
Conte di Castignano Torre Del Sasso Chianti,$12.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Tuscany Italy - Vibrant fruit complements the floral bouquet of this wine made like all Chiantis primarily from the Sangiovese grape. Flavors of ripe cherry raspberry chocolate and spice lead to a soft finish. Serve this wine with hamburgers or Italian fare. (Fresh Cherry Floral  Medium-bodied )
Guigal Chateauneuf du Pape 2012,$41.99,France,Rhone,Red Wine,Rhone Blend,Wine Advocate-Chateauneuf-du-Pape Rhone France- The 2012 Chateauneuf du Pape...gives up lively blackberry currant mineral and hints of spring flowers to go with a medium to full-bodied rounded and supple feel on the palate. (Barrel Score 91-93) (Concentrated Fruity Plum Herb  Full-bodied )
